source_file,method_id,eval_type,train_dataset,test_dataset,model,n_subjects,mean_acc,mean_precision_macro,mean_f1_macro,mean_bac,mean_kappa
loso_results_20260608_extra_variants_physionet_pivot_dataset_cross_lee2019_to_cho2017_csp_lda.csv,20260608_extra_variants_physionet_pivot_dataset,base,lee2019,cho2017,physionet_pivot_dataset,52,58.7902,,,58.7902,0.1758
loso_results_20260608_metrics_final_base_cross_cho2017_to_lee2019_csp_lda.csv,20260608_metrics_final_base,base,cho2017,lee2019,base,54,68.963,69.267,68.7106,68.963,0.3793
loso_results_20260608_metrics_final_base_cross_lee2019_to_cho2017_csp_lda.csv,20260608_metrics_final_base,base,lee2019,cho2017,base,52,65.101,65.4267,64.8502,65.101,0.302
loso_results_20260608_metrics_final_session_ea_cross_cho2017_to_lee2019_csp_lda.csv,20260608_metrics_final_session_ea,base,cho2017,lee2019,session_ea,54,70.7407,71.2222,69.8693,70.7407,0.4148
loso_results_20260608_metrics_final_session_ea_cross_lee2019_to_cho2017_csp_lda.csv,20260608_metrics_final_session_ea,base,lee2019,cho2017,session_ea,52,65.1346,65.5117,64.9083,65.1346,0.3027
loso_results_20260608_metrics_final_session_ea_feature_coral_cross_cho2017_to_lee2019_csp_lda.csv,20260608_metrics_final_session_ea_feature_coral,base,cho2017,lee2019,session_ea_feature_coral,54,70.2037,70.2348,70.19,70.2037,0.4041
loso_results_20260608_metrics_final_session_ea_feature_coral_cross_lee2019_to_cho2017_csp_lda.csv,20260608_metrics_final_session_ea_feature_coral,base,lee2019,cho2017,session_ea_feature_coral,52,65.6635,65.6969,65.6388,65.6635,0.3133
loso_results_20260608_session_coral_mmd_feature_coral_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_coral_mmd_feature_coral,base,cho2017,lee2019,feature_coral,54,69.6111,,,69.6111,0.3922
loso_results_20260608_session_coral_mmd_feature_coral_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_coral_mmd_feature_coral,base,lee2019,cho2017,feature_coral,52,65.4904,,,65.4904,0.3098
loso_results_20260608_session_coral_mmd_mmd_resample_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_coral_mmd_mmd_resample,base,cho2017,lee2019,mmd_resample,54,69.0,,,69.0,0.38
loso_results_20260608_session_coral_mmd_mmd_resample_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_coral_mmd_mmd_resample,base,lee2019,cho2017,mmd_resample,52,65.0015,,,65.0015,0.3
loso_results_20260608_session_coral_mmd_session_ea_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_coral_mmd_session_ea,base,cho2017,lee2019,session_ea,54,70.7407,,,70.7407,0.4148
loso_results_20260608_session_coral_mmd_session_ea_cross_lee2019_to_cho2017_csp_lda.csv,20260608_session_coral_mmd_session_ea,base,lee2019,cho2017,session_ea,52,65.1346,,,65.1346,0.3027
loso_results_20260608_session_coral_mmd_session_ea_feature_coral_cross_cho2017_to_lee2019_csp_lda.csv,20260608_session_coral_mmd_session_ea_feature_coral,base,cho2017,lee2019,session_ea_feature_coral,54,70.2037,,,70.2037,0.4041
