dataset,subject,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
lee2019,14,80.5,77.16666666666667,74.66666666666667,78.33333333333333,78.66666666666667,False,True,2.5,True,4.0,True,5.833333333333329,True,3.666666666666657,True,False,4,80.5,AdaBN,5.833333333333329
lee2019,15,60.166666666666664,56.166666666666664,52.833333333333336,56.166666666666664,56.5,True,False,3.3333333333333286,False,3.6666666666666643,False,7.333333333333329,False,3.3333333333333286,False,True,0,60.166666666666664,AdaBN,7.333333333333329
lee2019,16,60.0,61.5,60.5,61.333333333333336,61.0,True,False,1.0,False,0.5,False,-0.5,False,0.8333333333333357,False,True,0,61.5,EA,1.0
lee2019,17,69.0,67.33333333333333,63.833333333333336,71.0,65.5,True,False,3.499999999999993,False,1.6666666666666643,False,5.166666666666664,True,7.166666666666664,True,False,1,71.0,Snapshot,7.166666666666664
lee2019,18,90.0,85.16666666666667,84.33333333333333,90.83333333333333,87.33333333333333,False,True,0.8333333333333428,True,3.0,True,5.666666666666671,True,6.5,True,False,4,90.83333333333333,Snapshot,6.5
lee2019,19,81.33333333333333,79.5,71.83333333333333,84.0,81.0,False,True,7.666666666666671,True,9.166666666666671,True,9.5,True,12.166666666666671,True,False,4,84.0,Snapshot,12.166666666666671
lee2019,20,73.0,73.0,72.33333333333333,71.0,69.66666666666667,False,True,0.6666666666666714,False,-2.666666666666657,True,0.6666666666666714,True,-1.3333333333333286,True,False,3,73.0,EA,0.6666666666666714
lee2019,21,94.0,84.0,83.66666666666667,89.16666666666667,92.83333333333333,False,True,0.3333333333333286,True,9.166666666666657,True,10.333333333333329,True,5.5,True,False,4,94.0,AdaBN,10.333333333333329
lee2019,22,76.5,67.66666666666667,65.33333333333333,72.5,75.33333333333333,True,False,2.333333333333343,True,10.0,True,11.166666666666671,True,7.166666666666671,True,False,3,76.5,AdaBN,11.166666666666671
lee2019,23,80.66666666666667,75.83333333333333,78.66666666666667,76.33333333333333,73.83333333333333,False,True,-2.833333333333343,True,-4.833333333333343,True,2.0,True,-2.333333333333343,True,False,4,80.66666666666667,AdaBN,2.0
lee2019,24,57.166666666666664,57.833333333333336,55.0,56.5,57.0,True,False,2.8333333333333357,False,2.0,False,2.1666666666666643,False,1.5,False,True,0,57.833333333333336,EA,2.8333333333333357
lee2019,25,59.166666666666664,60.166666666666664,60.0,60.5,61.166666666666664,True,False,0.1666666666666643,False,1.1666666666666643,False,-0.8333333333333357,False,0.5,False,True,0,61.166666666666664,TENT,1.1666666666666643
lee2019,26,62.0,64.66666666666667,63.0,63.833333333333336,61.166666666666664,True,False,1.6666666666666714,False,-1.8333333333333357,False,-1.0,False,0.8333333333333357,False,True,0,64.66666666666667,EA,1.6666666666666714
lee2019,27,53.166666666666664,54.166666666666664,53.666666666666664,57.666666666666664,53.833333333333336,True,False,0.5,False,0.1666666666666714,False,-0.5,False,4.0,False,True,0,57.666666666666664,Snapshot,4.0
lee2019,28,88.33333333333333,86.5,87.33333333333333,91.5,86.33333333333333,False,True,-0.8333333333333286,True,-1.0,True,1.0,True,4.166666666666671,True,False,4,91.5,Snapshot,4.166666666666671
lee2019,29,64.0,66.83333333333333,72.0,62.5,62.0,False,False,-5.166666666666671,False,-10.0,False,-8.0,False,-9.5,False,True,0,66.83333333333333,EA,-5.166666666666671
lee2019,30,71.33333333333333,65.66666666666667,68.66666666666667,70.33333333333333,66.83333333333333,True,False,-3.0,False,-1.8333333333333428,True,2.666666666666657,True,1.6666666666666572,True,False,2,71.33333333333333,AdaBN,2.666666666666657
lee2019,31,68.5,66.83333333333333,64.66666666666667,68.5,67.83333333333333,True,False,2.166666666666657,False,3.166666666666657,False,3.8333333333333286,False,3.8333333333333286,False,True,0,68.5,AdaBN,3.8333333333333286
lee2019,32,92.0,93.83333333333333,94.0,93.83333333333333,91.83333333333333,False,True,-0.1666666666666714,True,-2.1666666666666714,True,-2.0,True,-0.1666666666666714,True,False,4,93.83333333333333,EA,-0.1666666666666714
lee2019,33,94.33333333333333,93.66666666666667,94.33333333333333,92.5,96.16666666666667,False,True,-0.6666666666666572,True,1.8333333333333428,True,0.0,True,-1.8333333333333286,True,False,4,96.16666666666667,TENT,1.8333333333333428
lee2019,34,50.333333333333336,49.5,49.166666666666664,49.166666666666664,50.0,True,False,0.3333333333333357,False,0.8333333333333357,False,1.1666666666666714,False,0.0,False,True,0,50.333333333333336,AdaBN,1.1666666666666714
lee2019,35,53.0,52.833333333333336,51.833333333333336,57.0,53.333333333333336,True,False,1.0,False,1.5,False,1.1666666666666643,False,5.166666666666664,False,True,0,57.0,Snapshot,5.166666666666664
lee2019,36,94.83333333333333,95.16666666666667,89.83333333333333,95.16666666666667,95.16666666666667,False,True,5.333333333333343,True,5.333333333333343,True,5.0,True,5.333333333333343,True,False,4,95.16666666666667,EA,5.333333333333343
lee2019,37,96.83333333333333,95.66666666666667,96.66666666666667,96.5,97.0,False,True,-1.0,True,0.3333333333333286,True,0.1666666666666572,True,-0.1666666666666714,True,False,4,97.0,TENT,0.3333333333333286
