dataset,subject,backbone,AdaBN,EA,Original,Snapshot,TENT,original_illiterate,EA_pass70,EA_delta,TENT_pass70,TENT_delta,AdaBN_pass70,AdaBN_delta,Snapshot_pass70,Snapshot_delta,any_method_pass70,all_methods_fail70,n_methods_pass70,best_adaptive_acc,best_adaptive_method,best_delta
cho2017,44,CSPNet,79.5,80.0,72.5,75.0,81.5,False,True,7.5,True,9.0,True,7.0,True,2.5,True,False,4,81.5,TENT,9.0
cho2017,44,Conformer,71.5,74.0,74.5,77.5,64.0,False,True,-0.5,False,-10.5,True,-3.0,True,3.0,True,False,3,77.5,Snapshot,3.0
cho2017,44,EEGNet,76.5,74.0,67.0,78.0,75.5,True,True,7.0,True,8.5,True,9.5,True,11.0,True,False,4,78.0,Snapshot,11.0
cho2017,45,CSPNet,67.5,68.5,65.0,65.5,70.5,True,False,3.5,True,5.5,False,2.5,False,0.5,True,False,1,70.5,TENT,5.5
cho2017,45,Conformer,71.5,66.0,66.0,66.0,56.5,True,False,0.0,False,-9.5,True,5.5,False,0.0,True,False,1,71.5,AdaBN,5.5
cho2017,45,EEGNet,62.0,69.5,58.5,63.0,70.0,True,False,11.0,True,11.5,False,3.5,False,4.5,True,False,1,70.0,TENT,11.5
cho2017,46,CSPNet,79.5833,81.25,62.5,82.5,81.6667,True,True,18.75,True,19.166700000000006,True,17.083299999999994,True,20.0,True,False,4,82.5,Snapshot,20.0
cho2017,46,Conformer,82.5,73.3333,79.1667,80.0,73.75,False,True,-5.833400000000012,True,-5.416700000000006,True,3.333299999999994,True,0.8332999999999942,True,False,4,82.5,AdaBN,3.333299999999994
cho2017,46,EEGNet,82.9167,77.0833,72.9167,79.2,75.8333,False,True,4.166599999999988,True,2.9165999999999883,True,10.0,True,6.283299999999997,True,False,4,82.9167,AdaBN,10.0
cho2017,47,CSPNet,78.0,74.0,66.0,70.5,76.5,True,True,8.0,True,10.5,True,12.0,True,4.5,True,False,4,78.0,AdaBN,12.0
cho2017,47,Conformer,72.0,73.0,70.0,71.5,74.0,False,True,3.0,True,4.0,True,2.0,True,1.5,True,False,4,74.0,TENT,4.0
cho2017,47,EEGNet,74.0,71.5,66.5,74.0,70.0,True,True,5.0,True,3.5,True,7.5,True,7.5,True,False,4,74.0,AdaBN,7.5
