group,baseline,candidate,dataset,feature,n,rho,p
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,lee2019,source_pool_knn5_dist,54,-0.000840257585306785,0.9951886849690129
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,lee2019,source_pool_knn10_dist,54,-0.0158121200144095,0.9096475711202336
EA_to_TTA,ea_cspnet,ea_adabn_cspnet,lee2019,source_pool_sim_weight,54,0.02436746997389676,0.8611585062296117
EA_to_TTA,ea_cspnet,ea_tent_cspnet,cho2017,baseline_acc,52,-0.1188613104562789,0.4013198461190649
EA_to_TTA,ea_cspnet,ea_tent_cspnet,cho2017,cov_condition_num,52,-0.005259339420347335,0.9704818700496061
EA_to_TTA,ea_cspnet,ea_tent_cspnet,cho2017,source_pool_mean_dist,52,0.019198726827121575,0.8925399800318614
EA_to_TTA,ea_cspnet,ea_tent_cspnet,cho2017,source_pool_min_dist,52,-0.09693432899127975,0.4942127149882095
EA_to_TTA,ea_cspnet,ea_tent_cspnet,cho2017,source_pool_knn3_dist,52,-0.09813157698940761,0.488869393925916
EA_to_TTA,ea_cspnet,ea_tent_cspnet,cho2017,source_pool_knn5_dist,52,-0.10018400212905533,0.47978011304406953
EA_to_TTA,ea_cspnet,ea_tent_cspnet,cho2017,source_pool_knn10_dist,52,-0.1234020615213204,0.38344237351008403
EA_to_TTA,ea_cspnet,ea_tent_cspnet,cho2017,source_pool_sim_weight,52,0.025484278817292778,0.8576773844787908
EA_to_TTA,ea_cspnet,ea_tent_cspnet,lee2019,baseline_acc,54,-0.1707701645409115,0.21696861008216997
EA_to_TTA,ea_cspnet,ea_tent_cspnet,lee2019,cov_condition_num,54,-0.05113819660559343,0.7134438027129206
EA_to_TTA,ea_cspnet,ea_tent_cspnet,lee2019,source_pool_mean_dist,54,-0.0583181674508896,0.6753049111786014
EA_to_TTA,ea_cspnet,ea_tent_cspnet,lee2019,source_pool_min_dist,54,0.03467773152940914,0.8034068908853721
EA_to_TTA,ea_cspnet,ea_tent_cspnet,lee2019,source_pool_knn3_dist,54,0.05698147075096744,0.6823476383407812
