train_dataset,test_dataset,subject,common_n_channels,source_dataset_mean_dist,source_dataset_min_dist,source_dataset_knn3_dist,source_dataset_knn5_dist,source_dataset_knn10_dist,source_dataset_sim_weight
lee2019,cho2017,32,48,0.1703582887020667,0.1700761732796405,0.170131168704203,0.17015665677410935,0.17021916393719036,45.54158030176511
lee2019,cho2017,33,48,0.1927079270868173,0.19238140507801588,0.19245524653120236,0.192486802628405,0.19255397407077562,44.53503237546624
lee2019,cho2017,34,48,0.10900866120603098,0.10864441659137056,0.10871895357451002,0.1087585075090008,0.10883428641476012,48.42302340284526
lee2019,cho2017,35,48,0.08463192086907938,0.08437755153689253,0.08442220567465414,0.08444317069363153,0.0845020463438748,49.617923473096766
lee2019,cho2017,36,48,0.13877311665041378,0.1384751075927085,0.13852580395947037,0.13855601364177028,0.13862459017508694,47.00297670788266
lee2019,cho2017,37,48,0.1392039358589239,0.13893868445120341,0.13899341236007517,0.13901939690342363,0.1390684928508628,46.9827312473665
lee2019,cho2017,38,48,0.11366198579081724,0.11319690183981759,0.11329199167663652,0.11335388843075438,0.11344693219534323,48.198218939780865
lee2019,cho2017,39,48,1.4270025787868448,1.4266566218677548,1.4267383892491876,1.4267694347890094,1.4268390818403052,12.961474693388515
lee2019,cho2017,40,48,0.23411566736399372,0.23381333381215755,0.2338828208974225,0.23390655722234518,0.23396981653748083,42.72859563294907
lee2019,cho2017,41,48,0.34677070620927125,0.3464423262275984,0.34651213994187285,0.346544841458992,0.3466143232368645,38.176240468166036
lee2019,cho2017,42,48,0.0812718905851038,0.08093104537502692,0.0810051669964863,0.08103758298359315,0.08110904736087529,49.78492168208744
lee2019,cho2017,43,48,0.17309571244242633,0.17272976093296058,0.17280214585420792,0.1728436431142959,0.17292128147057356,45.41708426280934
lee2019,cho2017,44,48,0.28908918099783826,0.28873978905689757,0.28881170976944515,0.28884899570279493,0.2889229347848316,40.443052382604606
lee2019,cho2017,45,48,0.32786379228951207,0.32756014666854205,0.32762678447189364,0.32765434686534356,0.327716932666588,38.90490200375965
lee2019,cho2017,46,48,0.7092283607274855,0.7088844759512408,0.7089635874017887,0.7089947783547308,0.7090651359603818,26.569280780648654
lee2019,cho2017,47,48,0.34449177125405117,0.34420494182572614,0.344260859844078,0.34428503230489443,0.34434866013344484,38.26334081786574
lee2019,cho2017,48,48,0.9802076057640206,0.9798910934538715,0.9799621433532021,0.9799889992048518,0.9800547706036646,20.262592354748563
lee2019,cho2017,49,48,0.24221384493191295,0.2418336629396891,0.2419176287043463,0.241957928232091,0.2420349790042641,42.38396926170217
lee2019,cho2017,50,48,0.09188187071536447,0.09163832359919144,0.09168668103452778,0.09170688232247046,0.0917577891731903,49.25949685811826
lee2019,cho2017,51,48,0.2803607697491262,0.2800535061380662,0.28010994873889156,0.28014003240975527,0.2802086042048189,40.79760101294105
lee2019,cho2017,52,48,0.1910262414532702,0.19071246087112798,0.19077699616033852,0.1908078237954794,0.19087414605259329,44.609989302229096
