"group","baseline","candidate","dataset","subject","baseline_acc","candidate_acc","delta"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","45","58.5","69.5","11"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","46","72.9167","77.0833","4.17"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","47","66.5","71.5","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","48","92.5","95.5","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","49","63","68","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","50","57","69.5","12.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","51","63","62.5","-0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","cho2017","52","64","71","7"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","1","85.5","86","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","2","69.5","73","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","3","84.5","88","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","4","59.5","57.5","-2"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","5","89.5","92","2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","6","67.5","71.5","4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","7","62.5","66","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","8","76.5","81","4.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","9","81.5","85","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","10","58","68.5","10.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","11","57","55","-2"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","12","72","69.5","-2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","13","54.5","63","8.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","14","77","79.5","2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","15","53.5","55","1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","16","58.5","64","5.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","17","60","64","4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","18","85","91","6"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","19","68","78","10"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","20","67.5","72.5","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","21","88.5","87","-1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","22","70","69.5","-0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","23","79.5","74","-5.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","24","59.5","60.5","1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","25","58","61","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","26","62.5","64","1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","27","51.5","56","4.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","28","86","86.5","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","29","73","62.5","-10.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","30","71","66","-5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","31","62.5","63","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","32","94","93.5","-0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","33","93","94","1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","34","51","48.5","-2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","35","55","55","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","36","88.5","94.5","6"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","37","96","96.5","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","38","64.5","64.5","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","39","82.5","87","4.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","40","63","63","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","41","53.5","54.5","1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","42","68.5","72.5","4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","43","68","67","-1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","44","85","88","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","45","79","79","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","46","70","73.5","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","47","63","74","11"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","48","53","58","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","49","71","67.5","-3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","50","50.5","54.5","4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","51","62","66","4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","52","67.5","64","-3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","53","65.5","66","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","54","59.5","62.5","3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","1","67.5","68.5","1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","2","53.5","58.5","5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","3","90.5","93.5","3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","4","84","95","11"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","5","61","72","11"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","6","61","67.5","6.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","7","64.1667","62.5","-1.67"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","8","55.5","54.5","-1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","9","69.5833","74.5833","5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","10","80","86.5","6.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","11","60.5","71","10.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","12","55","71.5","16.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","13","55.5","53","-2.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","14","90.5","95","4.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","15","63.5","80","16.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","16","62","63","1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","17","48.5","55.5","7"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","18","66","68.5","2.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","19","58.5","76","17.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","20","59","70.5","11.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","21","73.5","84.5","11"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","22","73","74","1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","23","84","89.5","5.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","24","76","70.5","-5.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","25","75","79.5","4.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","26","68.5","72","3.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","27","50.5","58","7.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","28","49.5","49.5","0"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","29","60","56","-4"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","30","60.5","63.5","3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","31","61","66","5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","32","57","54","-3"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","33","67","67.5","0.5"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","34","53","52","-1"
"NoEA_to_EA","cspnet_noea","ea_cspnet","cho2017","35","58","57.5","-0.5"
