train_dataset,test_dataset,direction,subject,CSP-LDA baseline,DSA+SEA+SessionEA+SourceWeight+CSPNet,DatasetEA+SubjectEA+CSP-LDA,SessionEA+CSP-LDA,baseline_illiterate,DatasetEA+SubjectEA+CSP-LDA_pass70,DatasetEA+SubjectEA+CSP-LDA_delta,SessionEA+CSP-LDA_pass70,SessionEA+CSP-LDA_delta,DSA+SEA+SessionEA+SourceWeight+CSPNet_pass70,DSA+SEA+SessionEA+SourceWeight+CSPNet_delta,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta
lee2019,cho2017,lee2019->cho2017,24,51.5,76.5,69.5,73.5,True,False,18.0,True,22.0,True,25.0,True,False,2,76.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,25.0
lee2019,cho2017,lee2019->cho2017,25,54.5,78.5,63.5,66.0,True,False,9.0,False,11.5,True,24.0,True,False,1,78.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,24.0
lee2019,cho2017,lee2019->cho2017,26,51.0,69.5,54.0,56.0,True,False,3.0,False,5.0,False,18.5,False,True,0,69.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,18.5
lee2019,cho2017,lee2019->cho2017,27,51.5,62.5,59.0,62.5,True,False,7.5,False,11.0,False,11.0,False,True,0,62.5,SessionEA+CSP-LDA,11.0
lee2019,cho2017,lee2019->cho2017,28,52.5,51.5,48.5,45.5,True,False,-4.0,False,-7.0,False,-1.0,False,True,0,51.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,-1.0
lee2019,cho2017,lee2019->cho2017,29,49.5,55.5,51.0,54.5,True,False,1.5,False,5.0,False,6.0,False,True,0,55.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,6.0
lee2019,cho2017,lee2019->cho2017,30,57.5,76.0,66.5,69.5,True,False,9.0,False,12.0,True,18.5,True,False,1,76.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,18.5
lee2019,cho2017,lee2019->cho2017,31,50.0,68.0,62.0,60.5,True,False,12.0,False,10.5,False,18.0,False,True,0,68.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,18.0
lee2019,cho2017,lee2019->cho2017,32,44.5,49.0,47.5,49.0,True,False,3.0,False,4.5,False,4.5,False,True,0,49.0,SessionEA+CSP-LDA,4.5
lee2019,cho2017,lee2019->cho2017,33,54.0,60.0,62.5,60.5,True,False,8.5,False,6.5,False,6.0,False,True,0,62.5,DatasetEA+SubjectEA+CSP-LDA,8.5
lee2019,cho2017,lee2019->cho2017,34,49.0,51.0,43.5,46.5,True,False,-5.5,False,-2.5,False,2.0,False,True,0,51.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,2.0
lee2019,cho2017,lee2019->cho2017,35,54.5,56.5,45.5,41.5,True,False,-9.0,False,-13.0,False,2.0,False,True,0,56.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,2.0
lee2019,cho2017,lee2019->cho2017,36,59.5,69.5,70.5,71.5,True,True,11.0,True,12.0,False,10.0,True,False,2,71.5,SessionEA+CSP-LDA,12.0
lee2019,cho2017,lee2019->cho2017,37,50.0,50.0,54.0,51.0,True,False,4.0,False,1.0,False,0.0,False,True,0,54.0,DatasetEA+SubjectEA+CSP-LDA,4.0
lee2019,cho2017,lee2019->cho2017,38,50.0,65.0,54.0,59.0,True,False,4.0,False,9.0,False,15.0,False,True,0,65.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,15.0
lee2019,cho2017,lee2019->cho2017,39,50.0,81.0,66.5,70.0,True,False,16.5,True,20.0,True,31.0,True,False,2,81.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,31.0
lee2019,cho2017,lee2019->cho2017,40,50.0,47.0,51.5,47.5,True,False,1.5,False,-2.5,False,-3.0,False,True,0,51.5,DatasetEA+SubjectEA+CSP-LDA,1.5
lee2019,cho2017,lee2019->cho2017,41,54.0,93.0,86.5,88.5,True,True,32.5,True,34.5,True,39.0,True,False,3,93.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,39.0
lee2019,cho2017,lee2019->cho2017,42,51.5,69.5,64.5,67.5,True,False,13.0,False,16.0,False,18.0,False,True,0,69.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,18.0
lee2019,cho2017,lee2019->cho2017,43,50.0,97.0,94.0,93.5,True,True,44.0,True,43.5,True,47.0,True,False,3,97.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,47.0
lee2019,cho2017,lee2019->cho2017,44,50.0,73.0,72.5,70.0,True,True,22.5,True,20.0,True,23.0,True,False,3,73.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.0
lee2019,cho2017,lee2019->cho2017,45,55.0,67.0,60.0,59.0,True,False,5.0,False,4.0,False,12.0,False,True,0,67.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,12.0
lee2019,cho2017,lee2019->cho2017,46,49.6,73.3,67.1,71.67,True,False,17.499999999999993,True,22.07,True,23.699999999999996,True,False,2,73.3,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.699999999999996
lee2019,cho2017,lee2019->cho2017,47,62.0,65.5,67.0,62.0,True,False,5.0,False,0.0,False,3.5,False,True,0,67.0,DatasetEA+SubjectEA+CSP-LDA,5.0
lee2019,cho2017,lee2019->cho2017,48,54.0,90.0,86.0,87.0,True,True,32.0,True,33.0,True,36.0,True,False,3,90.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,36.0
lee2019,cho2017,lee2019->cho2017,49,50.5,63.0,64.5,63.5,True,False,14.0,False,13.0,False,12.5,False,True,0,64.5,DatasetEA+SubjectEA+CSP-LDA,14.0
lee2019,cho2017,lee2019->cho2017,50,50.5,61.0,58.5,60.5,True,False,8.0,False,10.0,False,10.5,False,True,0,61.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,10.5
lee2019,cho2017,lee2019->cho2017,51,52.0,63.0,59.5,61.0,True,False,7.5,False,9.0,False,11.0,False,True,0,63.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,11.0
lee2019,cho2017,lee2019->cho2017,52,55.0,80.5,74.0,76.5,True,True,19.0,True,21.5,True,25.5,True,False,3,80.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,25.5
