method,train_dataset,test_dataset,direction,subject,acc,bac,source_file
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,31,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,32,44.5,44.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,33,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,34,49.0,49.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,35,54.5,54.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,36,59.5,59.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,37,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,38,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,39,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,40,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,41,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,42,51.5,51.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,43,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,44,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,45,55.0,55.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,46,49.6,49.6,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,47,62.0,62.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,48,54.0,54.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,49,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,50,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,51,52.0,52.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
CSP-LDA baseline,lee2019,cho2017,lee2019->cho2017,52,55.0,55.0,loso_results_20260604_cross_stdmi_csp_lda_cross_lee2019_to_cho2017_csp_lda.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,1,81.0,81.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,2,77.0,77.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,3,94.5,94.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,4,65.0,65.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,5,90.5,90.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
