dataset,subject,backbone,method,acc
lee2019,17,EEGNet,EA,64.0
lee2019,18,EEGNet,EA,91.0
lee2019,19,EEGNet,EA,78.0
lee2019,20,EEGNet,EA,72.5
lee2019,21,EEGNet,EA,87.0
lee2019,22,EEGNet,EA,69.5
lee2019,23,EEGNet,EA,74.0
lee2019,24,EEGNet,EA,60.5
lee2019,25,EEGNet,EA,61.0
lee2019,26,EEGNet,EA,64.0
lee2019,27,EEGNet,EA,56.0
lee2019,28,EEGNet,EA,86.5
lee2019,29,EEGNet,EA,62.5
lee2019,30,EEGNet,EA,66.0
lee2019,31,EEGNet,EA,63.0
lee2019,32,EEGNet,EA,93.5
lee2019,33,EEGNet,EA,94.0
lee2019,34,EEGNet,EA,48.5
lee2019,35,EEGNet,EA,55.0
lee2019,36,EEGNet,EA,94.5
lee2019,37,EEGNet,EA,96.5
lee2019,38,EEGNet,EA,64.5
lee2019,39,EEGNet,EA,87.0
lee2019,40,EEGNet,EA,63.0
lee2019,41,EEGNet,EA,54.5
lee2019,42,EEGNet,EA,72.5
lee2019,43,EEGNet,EA,67.0
lee2019,44,EEGNet,EA,88.0
lee2019,45,EEGNet,EA,79.0
lee2019,46,EEGNet,EA,73.5
lee2019,47,EEGNet,EA,74.0
lee2019,48,EEGNet,EA,58.0
lee2019,49,EEGNet,EA,67.5
lee2019,50,EEGNet,EA,54.5
lee2019,51,EEGNet,EA,66.0
lee2019,52,EEGNet,EA,64.0
