dataset,subject,backbone,method,acc,reference_acc,reference,delta
lee2019,33,Conformer,EA,93.5,95.0,Original,-1.5
lee2019,34,Conformer,EA,55.0,50.5,Original,4.5
lee2019,35,Conformer,EA,49.5,50.0,Original,-0.5
lee2019,36,Conformer,EA,96.0,88.5,Original,7.5
lee2019,37,Conformer,EA,94.5,97.5,Original,-3.0
lee2019,38,Conformer,EA,57.5,60.5,Original,-3.0
lee2019,39,Conformer,EA,79.5,82.0,Original,-2.5
lee2019,40,Conformer,EA,62.0,65.5,Original,-3.5
lee2019,41,Conformer,EA,60.5,54.5,Original,6.0
lee2019,42,Conformer,EA,67.5,66.5,Original,1.0
lee2019,43,Conformer,EA,77.5,74.5,Original,3.0
lee2019,44,Conformer,EA,85.5,85.5,Original,0.0
lee2019,45,Conformer,EA,84.0,77.5,Original,6.5
lee2019,46,Conformer,EA,74.0,73.5,Original,0.5
lee2019,47,Conformer,EA,72.5,57.0,Original,15.5
lee2019,48,Conformer,EA,55.5,51.0,Original,4.5
lee2019,49,Conformer,EA,67.5,67.0,Original,0.5
lee2019,50,Conformer,EA,54.5,57.5,Original,-3.0
lee2019,51,Conformer,EA,58.5,61.5,Original,-3.0
lee2019,52,Conformer,EA,62.0,61.5,Original,0.5
lee2019,53,Conformer,EA,63.0,66.5,Original,-3.5
lee2019,54,Conformer,EA,65.0,54.5,Original,10.5
cho2017,1,EEGNet,TENT,66.5,65.0,Original,1.5
cho2017,2,EEGNet,TENT,55.0,54.0,Original,1.0
cho2017,3,EEGNet,TENT,93.0,89.5,Original,3.5
cho2017,4,EEGNet,TENT,90.0,90.0,Original,0.0
cho2017,5,EEGNet,TENT,66.5,63.0,Original,3.5
cho2017,6,EEGNet,TENT,63.5,57.0,Original,6.5
cho2017,7,EEGNet,TENT,61.25,62.0833,Original,-0.8333000000000013
cho2017,8,EEGNet,TENT,56.0,58.5,Original,-2.5
cho2017,9,EEGNet,TENT,72.9167,74.1667,Original,-1.25
cho2017,10,EEGNet,TENT,85.0,86.0,Original,-1.0
cho2017,11,EEGNet,TENT,75.5,63.5,Original,12.0
cho2017,12,EEGNet,TENT,69.5,61.0,Original,8.5
cho2017,13,EEGNet,TENT,49.5,48.0,Original,1.5
cho2017,14,EEGNet,TENT,91.5,84.5,Original,7.0
cho2017,15,EEGNet,TENT,84.5,67.0,Original,17.5
cho2017,16,EEGNet,TENT,61.0,59.0,Original,2.0
cho2017,17,EEGNet,TENT,53.0,49.5,Original,3.5
cho2017,18,EEGNet,TENT,77.5,68.5,Original,9.0
cho2017,19,EEGNet,TENT,68.0,64.5,Original,3.5
cho2017,20,EEGNet,TENT,63.0,56.5,Original,6.5
cho2017,21,EEGNet,TENT,75.5,63.5,Original,12.0
cho2017,22,EEGNet,TENT,65.5,72.5,Original,-7.0
cho2017,23,EEGNet,TENT,79.0,80.0,Original,-1.0
cho2017,24,EEGNet,TENT,70.5,75.0,Original,-4.5
cho2017,25,EEGNet,TENT,78.0,74.5,Original,3.5
cho2017,26,EEGNet,TENT,75.5,72.5,Original,3.0
