dataset,subject,method,acc
cho2017,23,EA+SupCon,86.5
cho2017,23,EA+SupCon+AdaBN,90.0
cho2017,23,EA+SupCon+CORAL,90.0
cho2017,24,Original,76.0
cho2017,24,EA,70.5
cho2017,24,EA+TENT,76.0
cho2017,24,EA+AdaBN,71.0
cho2017,24,EA+Snapshot+AdaBN,72.0
cho2017,24,EA+SupCon,74.0
cho2017,24,EA+SupCon+AdaBN,74.0
cho2017,24,EA+SupCon+CORAL,68.0
cho2017,25,Original,75.0
cho2017,25,EA,79.5
cho2017,25,EA+TENT,79.5
cho2017,25,EA+AdaBN,83.5
cho2017,25,EA+Snapshot+AdaBN,79.5
cho2017,25,EA+SupCon,76.0
cho2017,25,EA+SupCon+AdaBN,79.0
cho2017,25,EA+SupCon+CORAL,76.5
cho2017,26,Original,68.5
cho2017,26,EA,72.0
cho2017,26,EA+TENT,73.0
cho2017,26,EA+AdaBN,73.0
cho2017,26,EA+Snapshot+AdaBN,71.5
cho2017,26,EA+SupCon,73.0
cho2017,26,EA+SupCon+AdaBN,79.5
cho2017,26,EA+SupCon+CORAL,71.0
cho2017,27,Original,50.5
cho2017,27,EA,58.0
cho2017,27,EA+TENT,54.0
cho2017,27,EA+AdaBN,53.5
cho2017,27,EA+Snapshot+AdaBN,62.5
cho2017,27,EA+SupCon,57.5
cho2017,27,EA+SupCon+AdaBN,56.0
cho2017,27,EA+SupCon+CORAL,60.0
cho2017,28,Original,49.5
cho2017,28,EA,49.5
cho2017,28,EA+TENT,50.5
cho2017,28,EA+AdaBN,48.0
cho2017,28,EA+Snapshot+AdaBN,45.5
cho2017,28,EA+SupCon,49.5
cho2017,28,EA+SupCon+AdaBN,49.0
cho2017,28,EA+SupCon+CORAL,48.0
cho2017,29,Original,60.0
cho2017,29,EA,56.0
cho2017,29,EA+TENT,59.0
cho2017,29,EA+AdaBN,54.5
cho2017,29,EA+Snapshot+AdaBN,55.5
cho2017,29,EA+SupCon,54.5
cho2017,29,EA+SupCon+AdaBN,58.5
cho2017,29,EA+SupCon+CORAL,53.5
cho2017,30,Original,60.5
cho2017,30,EA,63.5
cho2017,30,EA+TENT,70.5
cho2017,30,EA+AdaBN,72.0
cho2017,30,EA+Snapshot+AdaBN,75.5
cho2017,30,EA+SupCon,71.0
cho2017,30,EA+SupCon+AdaBN,74.0
cho2017,30,EA+SupCon+CORAL,68.5
cho2017,31,Original,61.0
cho2017,31,EA,66.0
cho2017,31,EA+TENT,69.5
cho2017,31,EA+AdaBN,69.5
cho2017,31,EA+Snapshot+AdaBN,70.0
cho2017,31,EA+SupCon,70.0
cho2017,31,EA+SupCon+AdaBN,72.0
cho2017,31,EA+SupCon+CORAL,69.5
cho2017,32,Original,57.0
cho2017,32,EA,54.0
cho2017,32,EA+TENT,52.0
cho2017,32,EA+AdaBN,52.5
cho2017,32,EA+Snapshot+AdaBN,55.5
cho2017,32,EA+SupCon,53.5
cho2017,32,EA+SupCon+AdaBN,53.0
cho2017,32,EA+SupCon+CORAL,54.0
cho2017,33,Original,67.0
cho2017,33,EA,67.5
cho2017,33,EA+TENT,69.5
cho2017,33,EA+AdaBN,66.0
cho2017,33,EA+Snapshot+AdaBN,68.5
cho2017,33,EA+SupCon,68.0
cho2017,33,EA+SupCon+AdaBN,67.5
cho2017,33,EA+SupCon+CORAL,64.0
cho2017,34,Original,53.0
cho2017,34,EA,52.0
cho2017,34,EA+TENT,52.5
cho2017,34,EA+AdaBN,53.5
cho2017,34,EA+Snapshot+AdaBN,54.5
cho2017,34,EA+SupCon,57.0
cho2017,34,EA+SupCon+AdaBN,52.0
cho2017,34,EA+SupCon+CORAL,53.5
cho2017,35,Original,58.0
cho2017,35,EA,57.5
cho2017,35,EA+TENT,59.0
cho2017,35,EA+AdaBN,54.5
cho2017,35,EA+Snapshot+AdaBN,58.0
cho2017,35,EA+SupCon,56.5
cho2017,35,EA+SupCon+AdaBN,56.0
cho2017,35,EA+SupCon+CORAL,55.0
cho2017,36,Original,67.5
cho2017,36,EA,71.5
cho2017,36,EA+TENT,69.0
cho2017,36,EA+AdaBN,73.5
cho2017,36,EA+Snapshot+AdaBN,68.5
cho2017,36,EA+SupCon,72.5
cho2017,36,EA+SupCon+AdaBN,72.5
cho2017,36,EA+SupCon+CORAL,69.5
cho2017,37,Original,50.5
cho2017,37,EA,57.0
cho2017,37,EA+TENT,54.5
cho2017,37,EA+AdaBN,54.0
cho2017,37,EA+Snapshot+AdaBN,51.0
cho2017,37,EA+SupCon,49.5
cho2017,37,EA+SupCon+AdaBN,52.5
cho2017,37,EA+SupCon+CORAL,55.0
cho2017,38,Original,52.5
cho2017,38,EA,69.5
cho2017,38,EA+TENT,68.0
cho2017,38,EA+AdaBN,71.0
cho2017,38,EA+Snapshot+AdaBN,70.0
cho2017,38,EA+SupCon,69.0
cho2017,38,EA+SupCon+AdaBN,67.0
cho2017,38,EA+SupCon+CORAL,66.5
cho2017,39,Original,50.5
cho2017,39,EA,79.5
cho2017,39,EA+TENT,79.5
cho2017,39,EA+AdaBN,76.0
cho2017,39,EA+Snapshot+AdaBN,78.5
cho2017,39,EA+SupCon,80.0
cho2017,39,EA+SupCon+AdaBN,75.5
cho2017,39,EA+SupCon+CORAL,78.0
cho2017,40,Original,52.0
cho2017,40,EA,54.0
cho2017,40,EA+TENT,52.0
cho2017,40,EA+AdaBN,50.0
cho2017,40,EA+Snapshot+AdaBN,53.0
cho2017,40,EA+SupCon,53.0
cho2017,40,EA+SupCon+AdaBN,51.0
cho2017,40,EA+SupCon+CORAL,52.0
cho2017,41,Original,90.5
cho2017,41,EA,96.5
